;;;;;;;;;;;;;;;;Hektar ;;
Bölge Müdürlüğü;Yıl                Year;İhmal  ;;;;;;;Kasıt;;;;Kaza   ;;;;                    ; 
;;Anız;Çöplük;Avcılık ;Çoban_Ateşi;Sigara;Piknik;Diğer ;Terör;Kundaklama     Incension;Açma;Diğer;Enerji;Trafik;Diğer;Faili_meçhul ;Doğal   ;Toplam
Ankara;2014;-;0,05;-;-;-;2,2;-;Terör Terror;-;-;-;1;-;-;32,45;0,41;36,11
Ankara;2015;-;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;-;15,19;0,31;15,5
Ankara;2016;-;-;-;0,13;-;0,73;-;Terör Terror;-;-;-;0,2;-;301;101,1;10,71;413,87
Ankara;2017;-;-;-;3,8;0,01;0,5;-;Terör Terror;-;-;-;1,1;-;0,1;78,21;8,66;92,38
Ankara;2018;-;35;-;-;-;-;32,59;Terör Terror;-;-;0,3;-;-;-;12,06;0,01;79,96
Ankara;2019;2,02;4,6;-;0,01;-;0,1;23,61;Terör Terror;-;-;-;3,79;0,32;-;28,26;6,89;69,6
Ankara;2020;5;-;-;-;-;0,03;7,23;Terör Terror;-;-;-;0,68;-;-;767,47;0,72;781,13
Ankara;2021;10,42;-;-;-;-;-;3,39;Terör Terror;-;-;5;-;0,2;-;6,6;0,3;25,91
Ankara;2022;0,16;0;-;-;-;-;0,26;Terör Terror;-;-;-;0,01;-;-;3,71;0,8;4,94
Ankara;2023;9;-;-;-;-;-;30;Terör Terror;-;-;2;1;-;58;70;89;259
Ankara;2024;2,646;-;1,164;;-;0,011;74,127;Terör Terror;-;-;-;-;-;41,78;109,157;24,292;253,177
Antalya;2013;16,32;37,82;101,5;0,21;22,23;2,91;1,3;Terör Terror;14,94;-;7,66;50,06;0,01;3,7;1017,83;1312,1;2588,59
Antalya;2014;1,43;0,7;1,4;1,6;0,15;140;-;Terör Terror;8;-;0;8;-;0;70,03;3,2;234,51
Antalya;2015;0,31;5,62;0,7;-;1,12;3,13;-;Terör Terror;7,86;-;27,02;2,78;-;-;146,44;1,46;196,44
Antalya;2016;34,84;-;3;1,2;1,08;0,05;0,3;Terör Terror;12,51;-;34,46;1851,77;-;-;208,86;10,95;2159,02
Antalya;2017;6,24;0,74;-;-;0,55;0,72;2069,9;Terör Terror;352,92;-;19,74;184,99;-;3,3;108,27;2,68;2750,05
Antalya;2018;10,91;4,82;-;-;7,91;1,32;98,25;Terör Terror;48,21;1,01;4,54;300,89;-;1,02;99,37;15,35;593,6
Antalya;2019;0,7;0,2;-;0,03;0,12;0,01;7,54;Terör Terror;133,65;-;4,97;2,37;-;2,73;77,95;4,59;234,86
Antalya;2020;1,16;-;-;0,27;-;0,8;31,5;Terör Terror;0,07;-;21,85;4,9;1,01;115,28;199,34;22,72;399,58
Antalya;2021;2,25;1;-;1,24;1,5;2,5;53,47;Terör Terror;16,63;-;45465,5;14396;-;2;;;59942,09
Antalya;2022;1,83;0,01;-;0,68;0,04;-;17,56;Terör Terror;-;-;6,01;30,27;-;1,77;115,89;26,63;200,69
Antalya;2023;4;-;-;-;-;-;99;Terör Terror;-;-;6;35;-;4;233;4;386
Antalya;2024;1,072;15,973;2,483;;0,04;0,57;107,7;Terör Terror;6,124;-;25,2;114,748;3,075;0,459;30,37;25,459;333,273
Artvin;2013;2;-;-;-;-;-;15;Terör Terror;-;-;-;-;-;-;2,5;19,5;39
Artvin;2014;7;-;-;-;0,2;-;-;Terör Terror;-;-;-;-;-;-;1,4;0,03;8,63
Artvin;2015;4,2;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;-;0,5;-;4,7
Artvin;2016;-;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;-;-;-;0
Artvin;2017;3,25;-;-;-;-;-;0,5;Terör Terror;-;-;-;-;-;-;1,6;0,05;5,4
Artvin;2018;0,2;-;-;-;-;-;-;Terör Terror;-;-;-;-;-;-;0,7;-;0,9
Artvin;2019;0,9614;-;-;-;-;0,6302;5,6;Terör Terror;-;-;-;6,04;-;-;2;1,465;16,6966
Artvin;2020;1,62;-;-;-;-;-;0,56;Terör Terror;-;-;-;-;-;-;6,89;9,19;18,26
Artvin;2021;8,39;-;-;-;0,11;-;-;Terör Terror;-;-;-;-;-;-;13,95;1,82;24,27
Artvin;2022;0,28;-;-;-;-;-;5,01;Terör Terror;-;-;-;-;-;-;13,42;0,22;18,93
Artvin;2023;-;-;-;-;1;-;-;Terör Terror;-;-;-;-;-;-;1;1;3
Artvin;2024;2,175;-;-;;-;-;-;Terör Terror;-;-;-;-;-;-;0,194;0,27;2,639
Balıkesir;2013;30,63;15,5;-;16,67;0,74;339,8;-;Terör Terror;-;-;13,7;211,65;5;0,9;1715,32;2350,23;4700,14
Balıkesir;2014;9,43;2;-;2;0,21;1,45;-;Terör Terror;1;-;-;4;0;-;12,8;1,04;33,93
Balıkesir;2015;4,84;-;-;0,26;0,3;0,5;-;Terör Terror;-;-;4,93;1,37;-;0,4;25,21;0,95;38,76
Balıkesir;2016;4,76;1,73;-;25,3;2,96;84,16;-;Terör Terror;-;-;1,53;69,1;-;-;406,67;4,71;600,92
Balıkesir;2017;11,81;0,4;-;5,06;-;2,2;-;Terör Terror;15,41;-;1,55;-;-;-;125,83;5,44;167,7
Balıkesir;2018;5,04;2,7;-;0,13;1,24;2,68;-;Terör Terror;0,8;-;0,06;0,61;-;-;8,88;1,4;23,54
Balıkesir;2019;6,1;2,5;-;-;0,88;-;15,23;Terör Terror;9,86;-;-;-;-;0,33;38,55;1,33;74,78
Balıkesir;2020;2,44;0,3;-;6,24;1,27;-;36,69;Terör Terror;-;-;0,03;51,61;-;-;5,11;0,54;104,23
Balıkesir;2021;0,2;-;-;13,95;0,72;0,04;2,91;Terör Terror;-;-;1,54;2,92;0,09;24,4;;;46,77
Balıkesir;2022;0,3;-;-;38,23;-;-;7,43;Terör Terror;-;-;1,06;97,44;-;0,2;35,88;0,69;181,23
Balıkesir;2023;-;-;-;3;-;-;8;Terör Terror;-;-;-;17;34;-;29;6;97
Balıkesir;2024;41,252;-;1,033;;0,028;-;102,713;Terör Terror;-;-;-;3,581;22;0,502;85,601;4,239;260,949
Bolu;2013;4,26;0,53;-;0,02;0,01;1,44;0,66;Terör Terror;-;-;-;1,1;-;-;67,8;77,16;152,98
Bolu;2014;5,05;0,53;-;-;-;-;-;Terör Terror;-;-;-;3,3;-;-;4,25;0,88;14,01
Bolu;2015;2,15;-;-;-;20;-;-;Terör Terror;-;-;-;16;-;-;9,61;3,65;51,41
Bolu;2016;6,42;-;-;-;-;-;0,01;Terör Terror;-;-;-;0,55;-;1,7;14,94;6,3;29,92
Bolu;2017;10,8;2;-;-;250;-;-;Terör Terror;-;-;-;2;-;1,05;7,47;5,77;279,09
Bolu;2018;14;-;-;2,5;-;0,03;-;Terör Terror;-;-;-;-;-;0,01;4,6;0,78;21,92
Bolu;2019;6,462;-;0,23;-;-;-;23,25;Terör Terror;-;-;-;0,1352;-;-;10,3328;1,72;42,13
Bolu;2020;4,45;-;-;-;-;0,01;12,05;Terör Terror;-;-;-;-;-;1;156;30,16;203,67
Bolu;2021;6,21;0,28;-;-;-;-;5,55;Terör Terror;-;-;1,05;0,06;-;-;;;13,15
Bolu;2022;0,2;-;-;-;-;-;1,96;Terör Terror;-;-;-;-;-;-;2,24;10,71;15,11
